관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
도담삼봉,37576,288094,330681,483497,809168,480991,77659
청풍호반케이블카,30476,71329,95970,97915,162113,140713,49282
배론성지,23134,38886,88601,87125,106322,107799,40854
청남대,20760,45571,69875,72914,131651,122030,44052
솔향공원,27978,53846,67572,76547,148344,116669,36426
청주동물원,14785,23409,65794,49777,41398,38935,11827
정방사,16924,44428,51833,53596,99436,69464,16572
청풍문화재단지,6071,14216,20435,22361,35689,36874,12291
월류봉,9244,11975,20379,29624,63032,56938,18908
옥화자연휴양림,8285,12205,17016,17372,15412,14165,4631
율리휴양촌,7329,10916,15126,24483,45537,38675,13879
수주팔봉,3246,17566,11654,10572,15402,15901,8907
충북알프스자연휴양림,5286,3624,11102,13518,17370,18276,6418
성불산자연휴양림,4983,6000,8847,15764,28171,31121,6814
문의문화재단지,2738,5001,6370,7919,16494,15005,6014
조령산자연휴양림,2913,2629,5684,11796,22241,20678,5115
진천종박물관,1385,2290,3561,4806,7068,6842,2289
천동관광지,1707,2391,3348,4851,4987,4190,1297
한독의약박물관,413,2081,2784,2950,3433,1695,413
옥계폭포,282,2500,2688,7736,21937,9246,2735
오장환문학관,158,235,303,370,889,1033,542
무극전적국민관광지,92,212,295,571,950,874,329
괴산한지체험박물관,110,156,202,410,910,799,259
난계국악박물관,47,106,146,260,404,296,138
안골관광농원,0,0,0,0,0,0,0
